NAME,MIN,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OR,DR,REB,AST,TO,STL,BLK,Team
Caitlin Clark G,1362,403,886,227,264,201,532,1234,17,270,287,346,185,68,20,Iowa
Kate Martin G,859,195,311,95,151,4,8,489,93,137,230,43,59,26,19,Iowa
Hannah Stuelke F,1122,185,365,89,103,51,138,510,51,214,265,88,77,34,20,Iowa
Gabbie Marshall G,972,107,194,88,106,24,58,326,84,167,251,89,39,44,16,Iowa
Sydney Affolter G,1141,80,213,5,10,65,182,230,7,40,47,62,23,44,4,Iowa
Molly Davis G,729,69,128,24,28,22,54,184,17,62,79,93,37,21,2,Iowa
Addison O'Grady F,301,59,88,21,28,0,0,139,28,64,92,9,26,9,18,Iowa
Kylie Feuerbach G,333,66,121,17,34,0,0,149,21,50,71,16,20,3,20,Iowa
Sharon Goodman C,268,35,80,5,6,35,76,110,1,22,23,21,10,5,3,Iowa
Taylor McCabe G,537,30,96,20,26,21,71,101,12,39,51,33,29,27,6,Iowa
AJ Ediger F,106,17,28,8,12,0,1,42,15,14,29,4,9,6,2,Iowa
Jada Gyamfi F,80,12,26,0,0,3,9,27,3,8,11,4,8,2,1,Iowa
Kennise Johnson G,40,2,6,3,4,0,3,7,0,4,4,3,2,1,0,Iowa
Kamilla Cardoso C,839,193,325,87,132,1,1,474,122,198,320,67,51,20,82,South Carolina
MiLaysia Fulwiley G,699,160,365,79,101,47,137,446,25,86,111,82,64,63,28,South Carolina
Te-Hina Paopao G,1013,146,317,28,33,87,186,407,9,87,96,136,61,30,7,South Carolina
Ashlyn Watkins F,781,148,269,55,99,0,1,351,106,174,280,43,58,48,91,South Carolina
Bree Hall G,964,128,291,35,50,50,130,341,30,78,108,54,41,20,19,South Carolina
Chloe Kitts F,688,136,250,62,90,1,2,335,62,158,220,50,54,16,23,South Carolina
Raven Johnson G,1034,120,271,30,49,28,80,298,37,156,193,179,58,78,7,South Carolina
Sania Feagin F,574,105,191,43,63,1,7,254,50,93,143,38,42,15,24,South Carolina
Tessa Johnson G,624,76,170,44,51,35,81,231,11,50,61,40,32,24,3,South Carolina
Sahnya Jah F,147,21,58,4,12,3,15,49,10,22,32,10,8,10,1,South Carolina
Sakima Walker C,237,22,43,17,23,0,0,61,13,26,39,3,15,8,12,South Carolina